"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.85584339336658,0.0792134189050991,-23.4283965901024,2.19538857198412e-121
"gene",0.0606956961187598,0.0789550751392415,0.768737107927764,0.442049391172798
"discrimination",-0.159312798966375,0.170359281470488,-0.935157730129152,0.349707018780203
"gene:discrimination",-0.00750838203819799,0.171025771509831,-0.0439020503864027,0.964982480906448
