"","Estimate","Std. Error","t value","Pr(>|t|)"
"gene",0.0180969213920069,0.00553322608864755,3.2705913516052,0.00108072842300013
"discrimination",0.0670973750635964,0.0154887969367464,4.33199397846137,1.53940664501005e-05
"gene:discrimination",0.00957368917017115,0.0152480985165333,0.627861182808503,0.530155913242373
