"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.52407602527087,0.313643831022465,-4.8592571398661,1.17827018728817e-06
"gene",0.540044221150601,0.359496105830109,1.5022255106313,0.133038878601457
"discrimination",-0.023142039017252,0.48054768298465,-0.0481576331270985,0.961590614853005
"data_both_countries[, covariate1]",4.4153201682832,17.4149337288483,0.253536432410828,0.799853711605779
"gene:discrimination",-0.469715269349832,0.52396806310608,-0.896457823336335,0.370008296581324
