"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.12149447227624,0.240988248104712,-4.65373096446154,3.25982080510763e-06
"gene",-0.251778657538966,0.226683421134586,-1.11070609521761,0.266694877761766
"discrimination",0.504553606441242,0.448827836738307,1.12415845262161,0.260945811564264
"data_both_countries[, covariate1]",-1.5556153335278,16.2574508769785,-0.0956863007183152,0.923769721414908
"gene:discrimination",1.11784523851031,0.509544504008009,2.19381276751587,0.0282488725784809
