"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.10626514792515,0.12846096843318,-24.180614437302,3.55862446533762e-129
"gene",0.257874476612296,0.123351820629155,2.09056076592149,0.0365674558658393
"discrimination",-0.197222774845723,0.228551028036899,-0.86292665817229,0.388177792563334
"data_both_countries[, covariate1]",10.6178637236676,11.7900825945947,0.900575855892261,0.367813876591615
"gene:discrimination",0.153462501574548,0.217791885887105,0.704629104750471,0.481041081175751
