"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.48487765973932,0.106623057691942,-23.3052560443228,3.92132058184247e-120
"gene",0.189431277379944,0.10493930014339,1.8051509503218,0.0710510639960337
"discrimination",0.844494433518111,0.147523202480193,5.72448550004529,1.03747667841786e-08
"gene:discrimination",-0.293806635976611,0.146836939822929,-2.00090410717434,0.0454027248816034
