"","analysis_variable_name","dataset","wave_number","outcome_name","N_subset","N_discrimYES","OR","CI1","CI2","p_value","ELSA_ageism_adjusted$OR","ELSA_ageism_adjusted$CI1","ELSA_ageism_adjusted$CI2","ELSA_ageism_adjusted$p_value"
"gene12","MI_wave7","ELSA","wave 7","MI","3414","752","0.852232965020488","0.557869580871147","1.29071466020346","0.451487468285198","0.832563562373662","0.538885505167683","1.27348315575537","0.399717522087237"
"discrimination12","MI_wave7","ELSA","wave 7","MI","3414","752","1.05313816689355","0.216457159554934","3.76480028015671","0.939922063599504","0.962304422006213","0.192126416123504","3.52136608843537","0.956268290264765"
"gene:discrimination12","MI_wave7","ELSA","wave 7","MI","3414","752","9.11225654345284","1.75819275532985","105.007872281188","0.0271654485455127","11.2915680558863","1.92678951121684","140.967191807404","0.0206095385965325"
"(Intercept)22","MI_wave8","ELSA","wave 8","MI","3414","752","0.547265098884765","0.343444392180351","0.853346920618489","0.00908158973917707","0.42106139855662","0.00623322642134753","29.5374101897657","0.686354976091505"
"gene22","MI_wave8","ELSA","wave 8","MI","3414","752","1.42115105468186","0.841502733257593","2.47239591347559","0.196757795293337","1.39054073483904","0.806085794308296","2.45569029093263","0.241331754169796"
"discrimination22","MI_wave8","ELSA","wave 8","MI","3414","752","0.457562761965757","0.130657401565158","1.30474370561895","0.171459111022662","0.463533745679319","0.12918346133126","1.36852467457431","0.190409481084635"
"gene:discrimination22","MI_wave8","ELSA","wave 8","MI","3414","752","1.03394585232293","0.253424965943554","4.98170289441332","0.963883394435967","1.13555423346183","0.279081346783984","5.41520190229422","0.862554593165291"
"1","Pain_w6","ELSA","wave 6","Pain","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"(Intercept)5","Pain_wave7","ELSA","wave 7","Pain","3414","752","567.318209363366","114.632391504743","12427.9459646958","1.38292199445412e-08","1386.44544560481","0.000334245912537679","56008690713.878","0.347315388131036"
"gene5","Pain_wave7","ELSA","wave 7","Pain","3414","752","3.54013944305733","0.791255158597881","19.1066325184591","0.106981427864272","3.71939619947631","0.794500218066752","24.3622701041205","0.11296996396673"
"discrimination5","Pain_wave7","ELSA","wave 7","Pain","3414","752","11129927.3406708","1.723873061164e-256",NA,"0.99634938883946","22412015.1597344","0",NA,"0.997443274522329"
"gene:discrimination5","Pain_wave7","ELSA","wave 7","Pain","3414","752","0.282474748849302","2.39471771441895e-124","8.40331367886109e+129","0.999727439645811","0.260192306088136","1.12468637554322e-208","1.60204978882681e+195","0.999818962849374"
"(Intercept)13","Pain_wave8","ELSA","wave 8","Pain","3414","752","204.095023724589","69.6920528546574","1120.97142293642","5.08149137480399e-15","433.88183749575","0.00815054472485845","19101888.8643874","0.249974496205097"
"gene13","Pain_wave8","ELSA","wave 8","Pain","3414","752","0.340410452523271","0.115680753399884","0.938611170673961","0.0390045173145671","0.329555754049199","0.111204737931033","0.913922940178684","0.0342031669842594"
"discrimination13","Pain_wave8","ELSA","wave 8","Pain","3414","752","11381307.2309476","4.43370963680615e-105",NA,"0.99377078143519","11193927.1474925","2.80240674000427e-104",NA,"0.993740417424832"
"gene:discrimination13","Pain_wave8","ELSA","wave 8","Pain","3414","752","2.9376301245129","2.33693402615544e-56","3.69273186656549e+56","0.999583970953136","2.99931250347787","1.1704588505309e-56","7.68576826894682e+56","0.999578927260795"
"(Intercept)6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","752","0.0625921524900128","0.0437116427004785","0.0865478339443275","2.61498098596135e-57","0.181533355790361","0.00686377196810235","5.02278568126351","0.308458839741845"
"gene6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","752","0.888501715078115","0.632125379121452","1.24990346714895","0.496123962423942","0.877391354855297","0.62413452112284","1.23437068529331","0.451561335259215"
"discrimination6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","752","0.606701440903008","0.229750321353819","1.34087612650573","0.256753058649651","0.603744465734489","0.228682555429619","1.33531097990979","0.252340061195064"
"gene:discrimination6","widespread_pain_bin_wave6","ELSA","wave 6","widespread_pain_bin","3414","752","0.853615930468643","0.360096748793623","1.99207802855978","0.715307026844522","0.863624212655469","0.364331596831431","2.00959389123328","0.734907911492926"
"(Intercept)14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","752","0.0467638306543001","0.0303947834768507","0.0684086935105902","5.36532723856227e-50","0.0157786322739373","0.000328361707632173","0.714950845168301","0.0333759410627393"
"gene14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","752","0.897633581810522","0.584748316938195","1.37364857866472","0.619515753016149","0.878052068403196","0.569422813882105","1.34720632589769","0.553000517335116"
"discrimination14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","752","0.709153382335021","0.259316651371873","1.65215019681506","0.458757915133088","0.659450236931259","0.239968311099366","1.54643693221432","0.372512441387648"
"gene:discrimination14","widespread_pain_bin_wave7","ELSA","wave 7","widespread_pain_bin","3414","752","1.40106431202407","0.538466823012506","3.84343854610887","0.500399983377018","1.43964395591628","0.549189681968776","3.96332378803571","0.469381876550601"
"(Intercept)23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","752","0.0703775987706471","0.0491259634995217","0.0974084240905018","1.70755644620788e-52","0.0134662675243114","0.000533830552755362","0.326252676495817","0.00823390868198098"
"gene23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","752","0.975361493201875","0.681321804275555","1.39109893265022","0.89087112108642","0.958879711983125","0.668168147257862","1.3712268263147","0.81864561620994"
"discrimination23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","752","0.672314442748531","0.297392787866844","1.36848297804552","0.301852289517956","0.631484054175764","0.277986702389213","1.2927170457321","0.235314299834465"
"gene:discrimination23","widespread_pain_bin_wave8","ELSA","wave 8","widespread_pain_bin","3414","752","1.01370502223916","0.472340447751116","2.16001846946571","0.97185814549117","1.0487186765242","0.486249164261031","2.23661960187676","0.902310629088613"
"(Intercept)7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","752","0.387382931522266","0.306288394832707","0.486070869380174","7.67983951831465e-16","0.177518168284987","0.0202179063337117","1.55118396219992","0.117781508564463"
"gene7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","752","0.965672086594682","0.776481944042192","1.20140163007376","0.753107670200351","0.933416312276212","0.748420592381224","1.16380988915889","0.539564904860979"
"discrimination7","sleep_disturbance_wave6","ELSA","wave 6","sleep_disturbance","3414","752","0.844450616334054","0.50811940378089","1.36834971929661","0.501908612387221","0.848016433405214","0.508798544067203","1.37832289925039","0.51514266583286"
