"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.678768098903075,0.24970228370187,-2.71830953582101,0.0065616421244543
"gene",0.412723701675153,0.289844354250935,1.42394942534514,0.154461112796928
"discrimination",-0.370173718300175,0.449391409794706,-0.823722283586328,0.410097374869704
"data_both_countries[, covariate1]",-32.2842189434748,20.0925240497172,-1.60677766833029,0.108103148725796
"gene:discrimination",-0.388854883132164,0.551524126038035,-0.705055073339344,0.480775963690895
